A,B,k,r0,comments
cp,cp,1550.0,1.384,
cpp,cpp,3000.0,1.384,
o,s,1550.0,1.384,
c1,cp,970.0,1.501,
cp,cpa,1550.0,1.384,
cpa,hc,1400.0,1.079,
nb,c_0,1200.0,1.32,
c_0,o_1,970.0,1.196,
cp,h,1400.0,1.079,
s,o,1550.0,1.384,
c,h,1400.0,1.01,
cp,hc,1400.0,1.079,
c,c,930.0,1.536,
nb,hn,1200.0,1.015,
cp,hx,1400.0,1.079,
cpa,cp,1550.0,1.384,
cp,c1,970.0,1.501,
hn,nb,1200.0,1.015,
c_0,nb,1200.0,1.32,
cpa,cpa,1550.0,1.384,
cpa,nb,1200.0,1.416,
c_0,c_0,970.0,1.56,
c2,cp,2000.0,1.524,
