atom1,atom2,epsilon,sigma,comments
s,nb,0.0679,4.0488,
s,c_0,0.0783,3.7515,
s,o,0.1212,3.8202,
s,hw,0.0012,3.5879,
s,hn,0.0012,3.5879,
s,o*,0.1322,3.8458,
s,s,0.071,4.027,
sf,sf,0.25,3.5636,
sf,oh,0.2293,3.3151,
sf,o=,0.2291,3.2617,
sf,ho,0,1.7818,
sf,c3,0.1654,3.4816,
sf,o,0.2062,3.2818,
sf,o1=,0.2291,3.2618,
sf,h1,0.0632,3.0173,
sf,n3m,0.2062,3.4068,
sf,c4,0.1651,3.4818,
sf,c,0.1651,3.4818,
sf,br,0.324,3.5813,
sf,npc,0.2062,3.4068,
sf,c5,0.1466,3.4818,
sf,np,0.2062,3.4068,
sf,o_1,0.2291,3.2618,
sf,c_1,0.1466,3.4818,
sf,ho2,0,1.7818,
sf,nh,0.2062,3.4068,
sf,ct,0.1466,3.4816,
sf,ow,0.1949,3.3571,
sf,hw,0,1.7818,
sf,i,0.3536,3.6972,
sf,c=2,0.1466,3.4818,
sf,nt,0.2062,3.4068,
sf,ct,0.2291,3.4818,
sf,c=1,0.1466,3.4818,
sf,c=,0.1466,3.4818,
sf,oc,0.2062,3.2818,
sf,na,0.2062,3.4068,
zn+2,p,0.02,2.995,
zn+2,zn+2,0.25106,3.296,
zn+2,f1p,0.02,2.995,
Li,Li,0.3000,2.6700,
Li,cp,0.1606,3.0349,
Li,c,0.1808,3.0350,
Li,c2,0.1812,3.0349,
Li,hc,0.0686,2.5707,
Li,ct,0.1606,3.0349,
Cu,Cu,3.8187,2.6775,
Cu,ct,1.9413,3.3437,
Cu,hc,1.9193,2.8362,
Cu,cp,0.2070,3.0000,
Cu,br,2.0618,3.446,
p,cp,0.1395,4.1525,
p,Pd,3.1498,3.588,
p,hc,0.1175,3.645,
p,ct,0.1395,4.1525,
p,Cu,2.01685,3.4862,
Pd,cp,3.0743,3.4455,
Pd,hc,3.0523,2.938,
Pd,Pd,6.0846,2.881,
Pd,ct,3.0743,3.4455,
Pd,Cu,4.9516,2.7792,
Pd,br,3.1948,3.548,
p,br,0.2600,4.255,
hcat,Cu,0.000,2.8362,
hcat,Pd,0.000,2.938,
hcat,ct,0.000,3.4455,
hcat,cp,0.000,3.4455,
hcat,hc,0.000,2.938,
hcat,br,0.000,3.605,
hcat,p,0.000,3.645,
hcat,hcat,0.000,2.938,
p,nh,0.1745,4.1825,
p,c1,0.1395,4.1525,
p,o1=,0.1375,3.915,
p,c3,0.1345,4.1525,
p,n3m,0.1745,4.1825,
Pd,nh,3.4755,3.1093,
Pd,c1,3.0693,3.4455,
Pd,c3,3.0693,3.4455,
Pd,h1,3.0523,2.938,
Pd,n3m,3.4755,3.1093,
Pd,c4,3.0693,3.4455,
hcat,nh,0.000,3.5325,
hcat,c1,0.000,3.5025,
hcat,o1=,0.000,3.265,
hcat,c3,0.000,3.5025,
hcat,h1,0.000,2.995,
hcat,n3m,0.000,3.5325,
hcat,c4,0.000,3.5025,
nh,c1,0.094,4.04,
nh,Cu,1.97635,3.37375,
c1,o1=,0.1605,3.655,
c1,n3m,0.094,4.04,
c1,c4,0.054,4.01,
c1,ct,0.054,4.01,
c1,Cu,1.9413,3.3437,
c1,br,0.1795,4.1125
o1=,Cu,2.04285,2.98875,
c3,Cu,1.9413,3.3437,
h1,Cu,0.3000,2.6700,
n3m,Cu,1.97635,3.37375,
c4,Cu,1.9413,3.3437,
Pd,o1=,3.1758,3.0905,
nh,hn,0.17,3.25,
nh,h,0.17,3.25,
hn,h,0.013,1.098,
hn,c,0.0367,2.9355,
