atom1,atom2,epsilon,sigma,comments
c3o,br,0.1901,3.4994,
c3o,npc,0.1209,3.3249,
c3o,c5,0.086,3.3998,
c3o,np,0.1209,3.3249,
c3o,o_1,0.1344,3.1799,
c3o,c_1,0.086,3.3998,
c3o,ho2,0,1.6998,
c3o,nh,0.1209,3.3249,
c3o,ct,0.086,3.3997,
c3o,ow,0.1143,3.2751,
c3o,hw,0,1.6998,
c3o,i,0.2074,3.6153,
c3o,c=2,0.086,3.3998,
c3o,nt,0.1209,3.3249,
c3o,ct,0.1344,3.3998,
c3o,c=1,0.086,3.3998,
c3o,c=,0.086,3.3998,
c3o,oc,0.1209,3.1999,
c3o,na,0.1209,3.3249,
c4,br,0.214,3.4995,
c4,c,0.109,3.4,
c4,c4,0.109,3.4,
c4,n3a,0.1187,3.9357,
c4,p,0.0376,3.4893,
c4,f1p,0.0376,3.4893,
c4,o1=,0.1598,3.664,
c4,n3m,0.1187,3.9357,
c4,cpp,0.1016,3.7736,
c4,n2a,0.1187,3.9357,
c4,h1,0.0376,3.4893,
c4,c3a,0.1106,3.7736,
c4,cp,0.1016,3.7736,
c4,hc,0.0254,3.6691,
c4,c4o,0.1106,3.7736,
c4,o2e,0.1598,3.664,
c4,npc,0.1361,3.325,
c4,c5,0.0968,3.4,
c4,np,0.1361,3.325,
c4,o_1,0.1513,3.18,
c4,c_1,0.0968,3.4,
c4,ho2,0,1.7,
c4,nh,0.1361,3.325,
c4,ct,0.0968,3.3998,
c4,ow,0.1287,3.2753,
c4,hw,0,1.7,
c4,i,0.2335,3.6154,
c4,c=2,0.0968,3.4,
c4,nt,0.1361,3.325,
c4,ct,0.1513,3.4,
c4,c=1,0.0968,3.4,
c4,c=,0.0968,3.4,
c4,oc,0.1361,3.2,
c4,na,0.1361,3.325,
c4o,p,0.0376,3.4893,
c4o,n3a,0.1187,3.9357,
c4o,h1,0.0376,3.4893,
c4o,c3a,0.1106,3.7736,
c4o,o2e,0.1598,3.664,
c4o,c4o,0.1106,3.7736,
c4o,f1p,0.0376,3.4893,
c4o,n2a,0.1187,3.9357,
c5,c5,0.086,3.4,
c5,np,0.1209,3.325,
c5,o_1,0.1344,3.18,
c5,c_1,0.086,3.4,
c5,ho2,0,1.7,
c5,nh,0.1209,3.325,
c5,ct,0.086,3.3998,
c5,ow,0.1143,3.2753,
c5,hw,0,1.7,
c5,i,0.2074,3.6154,
c5,c=2,0.086,3.4,
c5,nt,0.1209,3.325,
c5,ct,0.1344,3.4,
c5,c=1,0.086,3.4,
c5,c=,0.086,3.4,
c5,oc,0.1209,3.2,
c5,na,0.1209,3.325,
cl,cl,0.265,3.4709,
cl,coh,0.1703,3.4353,
cl,sf,0.2574,3.5173,
cl,oh,0.2361,3.2687,
cl,o=,0.2359,3.2154,
cl,ho,0,1.7355,
cl,c3,0.1703,3.4353,
cl,o,0.2122,3.2355,
cl,o1=,0.2359,3.2155,
cl,h1,0.0651,2.971,
cl,n3m,0.2122,3.3605,
cl,c4,0.17,3.4355,
cl,c,0.17,3.4355,
cl,br,0.3336,3.535,
cl,npc,0.2122,3.3605,
cl,c5,0.151,3.4355,
cl,np,0.2122,3.3605,
cl,o_1,0.2359,3.2155,
cl,c_1,0.151,3.4355,
cl,ho2,0,1.7355,
cl,nh,0.2122,3.3605,
cl,ct,0.151,3.4353,
cl,ow,0.2006,3.3108,
cl,hw,0,1.7355,
cl,i,0.364,3.6509,
cl,c=2,0.151,3.4355,
cl,nt,0.2122,3.3605,
cl,ct,0.2359,3.4355,
cl,c=1,0.151,3.4355,
cl,c=,0.151,3.4355,
cl,oc,0.2122,3.2355,
cl,na,0.2122,3.3605,
coh,coh,0.1094,3.3997,
coh,sf,0.1654,3.4816,
coh,oh,0.1517,3.2331,
coh,o=,0.1516,3.1798,
coh,ho,0,1.6998,
coh,c3,0.1094,3.3997,
coh,o,0.1364,3.1999,
coh,o1=,0.1516,3.1799,
coh,h1,0.0418,2.9353,
coh,n3m,0.1364,3.3249,
coh,c4,0.1092,3.3998,
coh,c,0.1092,3.3998,
coh,br,0.2144,3.4994,
coh,npc,0.1364,3.3249,
coh,c5,0.097,3.3998,
coh,np,0.1364,3.3249,
coh,o_1,0.1516,3.1799,
coh,c_1,0.097,3.3998,
coh,ho2,0,1.6998,
coh,nh,0.1364,3.3249,
coh,ct,0.097,3.3997,
coh,ow,0.1289,3.2751,
coh,hw,0,1.6998,
coh,i,0.2339,3.6153,
coh,c=2,0.097,3.3998,
coh,nt,0.1364,3.3249,
coh,ct,0.1516,3.3998,
coh,c=1,0.097,3.3998,
coh,c=,0.097,3.3998,
coh,oc,0.1364,3.1999,
coh,na,0.1364,3.3249,
cp,oc,0.1209,3.1999,
cp,nt,0.1209,3.3249,
cp,c,0.0968,3.3998,
cp,cp,0.086,3.3997,
cp,n3m,0.1209,3.3249,
cp,ct,0.086,3.3997,
cp,ct,0.1344,3.3998,
cp,hw,0,1.6998,
cp,br,0.1901,3.4994,
cp,o,0.1209,3.1999,
cp,np,0.1209,3.3249,
cp,hc,0.0367,2.9355,
cp,hi,0.0,2.9355,
cp,cl,0.151,3.4353,
cp,c=,0.086,3.3998,
cp,nb,0.0827,3.9357,
cp,c1,0.1016,3.7736,
cp,hx,0.1106,3.7736,
cp,s,0.087,3.9105,
cp,cpm,0.1106,1.7736,
cp,hn,0.0019,3.3622,
cp,h,0.0376,3.4893,
cp,o*,0.1725,3.6954,
cp,cpa,0.1106,3.7736,
cp,Ni,0.08,1.7085,
cp,c3o,0.086,3.3997,
cp,c2,0.097,3.3997,
cp,coh,0.097,3.3997,
cp,sf,0.1466,3.4816,
cp,oh,0.1345,3.2331,
cp,o=,0.1344,3.1798,
cp,ho,0,1.6998,
cp,c3,0.097,3.3997,
cp,o1=,0.1344,3.1799,
cp,h1,0.0371,2.9353,
cp,c4,0.0968,3.3998,
cp,npc,0.1209,3.3249,
cp,c5,0.086,3.3998,
cp,o_1,0.1344,3.1799,
cp,c_1,0.086,3.3998,
cp,ho2,0,1.6998,
cp,nh,0.1209,3.3249,
cp,ow,0.1143,3.2751,
cp,i,0.2074,3.6153,
cp,c=2,0.086,3.3998,
cp,c=1,0.086,3.3998,
cp,na,0.1209,3.3249,
cpa,hc,0.1106,3.7736,
cpa,hn,0.0019,3.3622,
cpa,nb,0.0827,3.9357,
cpa,cpa,0.1106,3.7736,
cpm,o,0.1598,3.664,
cpm,o*,0.1725,3.6954,
cpm,cpm,0.1106,1.7736,
cpm,s,0.087,3.9105,
cpm,hc,0.0376,3.4893,
cpm,hw,0.0019,3.3622,
cpm,hn,0.0019,3.3622,
cpm,cpa,0.1106,3.7736,
cpm,nb,0.0827,3.9357,
cpp,cpa,0.1106,1.7736,
cpp,hc,0.0376,3.4893,
cpp,o,0.1598,3.664,
cpp,s,0.087,3.9105,
cpp,cp,0.1106,1.7736,
cpp,cpp,0.1106,1.7736,
cpp,o*,0.1725,3.6954,
cpp,br,0.1106,3.7736,
cpp,nb,0.0827,3.9357,
cpp,hw,0.0019,3.3622,
cpp,n3m,0.0827,3.9357,
cpp,cpm,0.1106,1.7736,
cpp,hn,0.0019,3.3622,
ct,ct,0.086,3.3997,
ct,ct,0.1344,3.3998,
ct,ct,0.21,3.4,
ct,nt,0.1209,3.3249,
ct,np,0.0644,4.0406,
ct,hx,0.1106,3.7736,
ct,nb,0.0644,4.0406,
ct,hc,0.1106,3.7736,
ct,ow,0.1143,3.2751,
ct,hw,0,1.6998,
ct,i,0.2074,3.6153,
ct,c=2,0.086,3.3998,
ct,c=1,0.086,3.3998,
ct,c=,0.086,3.3998,
ct,oc,0.1209,3.1999,
ct,na,0.1209,3.3249,
ct,c=1,0.1344,3.4,
ct,c=,0.1344,3.4,
ct,oc,0.1889,3.2,
ct,na,0.1889,3.325,
f1p,f1p,0.02,2.995,
h,n3m,0.0356,3.7161,
h,h,0.1106,1.7736,
hi,hi,0.0,1.7736,
hi,o1=,0.0,2.77,
hi,c3,0.0,2.77,
hi,h1,0.0,2.177,
hi,n3m,0.0,2.77,
hi,c4,0.0,2.77
h,hc,0.0346,3.4893,
hi,hc,0.0,3.4893,
h1,h1,0.016,2.471,
h1,n3m,0.0522,2.8605,
h1,br,0.082,3.035,
h1,np,0.0522,2.8605,
h1,c,0.0418,2.9355,
h1,c1,0.0346,3.4893,
h1,cp,0.0346,3.4893,
h1,hc,0.0346,3.4893,
h1,cpp,0.0346,3.4893,
h1,f1p,0.02,2.995,
h1,n3a,0.0356,3.7161,
h1,n2a,0.0356,3.7161,
h1,p,0.02,2.995,
h1,c4,0.0418,2.9355,
h1,npc,0.0522,2.8605,
h1,c5,0.0371,2.9355,
h1,o_1,0.058,2.7155,
h1,c_1,0.0371,2.9355,
h1,ho2,0,1.2355,
h1,nh,0.0522,2.8605,
h1,ct,0.0371,2.9353,
h1,ow,0.0493,2.8108,
h1,hw,0,1.2355,
h1,i,0.0894,3.1509,
h1,c=2,0.0371,2.9355,
h1,nt,0.0522,2.8605,
h1,ct,0.058,2.9355,
h1,c=1,0.0371,2.9355,
h1,c=,0.0371,2.9355,
h1,oc,0.0522,2.7355,
h1,na,0.0522,2.8605,
hc,oc,0.0517,2.7357,
hc,n3m,0.0517,2.8607,
hc,cl,0.0645,2.9711,
hc,np,0.0517,2.8607,
hc,hc,0.0157,2.4713,
hc,br,0.0812,3.0352,
hi,br,0.0,3.0352,
hc,nt,0.0517,2.8607,
hc,c=,0.0367,2.9356,
hi,c=,0.0,2.9356,
hc,hn,0.0016,2.6693,
hc,nb,0.0248,3.7161,
hc,hx,0.1106,3.7736,
hc,c1,0.0346,3.4893,
hc,Ni,0.0000,1.7306,original0.0366
hc,c2,0.0414,2.9355,
hc,coh,0.0414,2.9355,
hc,sf,0.0626,3.0174,
hc,oh,0.0575,2.7689,
hc,o=,0.0574,2.7156,
hc,ho,0,1.2356,
hc,c3,0.0414,2.9355,
hc,o,0.0517,2.7357,
hc,o1=,0.0574,2.7157,
hc,h1,0.0158,2.4711,
hc,c4,0.0414,2.9356,
hc,c,0.0414,2.9356,
hc,npc,0.0517,2.8607,
hc,c5,0.0367,2.9356,
hc,o_1,0.0574,2.7157,
hc,c_1,0.0367,2.9356,
hc,ho2,0,1.2356,
hc,nh,0.0517,2.8607,
hc,ct,0.0367,2.9355,
hc,ow,0.0488,2.8109,
hc,hw,0,1.2356,
hc,i,0.0886,3.1511,
hc,c=2,0.0367,2.9356,
hc,ct,0.0574,2.9356,
hc,c=1,0.0367,2.9356,
hc,na,0.0517,2.8607,
hn,hn,0.013,1.098,
ho,ho,0,0,
ho,c3,0,1.6998,
ho,o,0,1.5,
ho,o1=,0,1.48,
ho,h1,0,1.2355,
ho,n3m,0,1.625,
ho,c4,0,1.7,
ho,c,0,1.7,
ho,br,0,1.7995,
ho,npc,0,1.625,
ho,c5,0,1.7,
ho,np,0,1.625,
ho,o_1,0,1.48,
ho,c_1,0,1.7,
ho,ho2,0,0,
ho,nh,0,1.625,
ho,ct,0,1.6998,
ho,ow,0,1.5753,
ho,hw,0,0,
ho,i,0,1.9154,
ho,c=2,0,1.7,
ho,nt,0,1.625,
ho,ct,0,1.7,
ho,c=1,0,1.7,
ho,c=,0,1.7,
ho,oc,0,1.5,
ho,na,0,1.625,
ho2,ho2,0,0,
ho2,nh,0,1.625,
ho2,ct,0,1.6998,
ho2,ow,0,1.5753,
ho2,hw,0,0,
ho2,i,0,1.9154,
ho2,c=2,0,1.7,
ho2,nt,0,1.625,
ho2,ct,0,1.7,
ho2,c=1,0,1.7,
ho2,c=,0,1.7,
ho2,oc,0,1.5,
ho2,na,0,1.625,
hw,hw,0,0,
hw,c_0,0.0029,2.9477,
hw,hn,0.013,1.098,
hw,cpa,0.0019,3.3622,
hw,nb,0.0011,3.6262,
hw,hc,0.0016,2.6693,
hw,o_1,0.0035,3.1498,
hw,i,0,1.9154,
hw,c=2,0,1.7,
hw,nt,0,1.625,
hw,ct,0,1.7,
hw,c=1,0,1.7,
hw,c=,0,1.7,
hw,oc,0,1.5,
hw,na,0,1.625,
hx,nb,0.0248,3.7161,
hx,hx,0.1106,3.7736,
i,i,0.5,3.8309,
i,c=2,0.2074,3.6154,
i,nt,0.2915,3.5405,
i,ct,0.324,3.6154,
i,c=1,0.2074,3.6154,
i,c=,0.2074,3.6154,
i,oc,0.2915,3.4155,
i,na,0.2915,3.5405,
n=,n=,0.1382,3.5759,
n=,cl,0.1121,3.6814,
n=,c1,0.1121,3.6814,
n=,cp,0.122,3.6814,
n=,hc,0.0459,3.3472,
n=,c,0.1121,3.6814,
n=,c=1,0.0888,3.8235,
n=,c2,0.1121,3.5759,
n=,np,0.122,3.6814,
n=,c3,0.1121,3.6814,
n2a,f1p,0.0356,3.7161,
n2a,n2a,0.134,4.07,
n2a,p,0.0356,3.7161,
n3a,p,0.0356,3.7161,
n3a,f1p,0.0356,3.7161,
n3a,n2a,0.134,4.07,
n3a,n3a,0.134,4.07,
n3m,n3m,0.17,3.25,
n3m,c4,0.1361,3.325,
n3m,c,0.1361,3.325,
n3m,br,0.2672,3.4245,
n3m,npc,0.17,3.25,
n3m,c5,0.1209,3.325,
n3m,np,0.17,3.25,
n3m,o_1,0.1889,3.105,
n3m,c_1,0.1209,3.325,
n3m,ho2,0,1.625,
n3m,nh,0.17,3.25,
n3m,ct,0.1209,3.3249,
n3m,ow,0.1607,3.2003,
n3m,hw,0,1.625,
n3m,i,0.2915,3.5405,
n3m,c=2,0.1209,3.325,
n3m,nt,0.17,3.25,
n3m,ct,0.1889,3.325,
n3m,c=1,0.1209,3.325,
n3m,c=,0.1209,3.325,
n3m,oc,0.17,3.125,
n3m,na,0.17,3.25,
na,na,0.17,3.25,
nb,nt,0.0603,3.86,
nb,hn,0.0011,3.6262,
nb,np,0.0479,3.86,
nb,nb,0.065,4.07,
nb,ct,0.0644,4.0406,
nh,nh,0.17,3.25,
nh,ct,0.1209,3.3249,
nh,ow,0.1607,3.2003,
nh,hw,0,1.625,
nh,i,0.2915,3.5405,
nh,c=2,0.1209,3.325,
nh,nt,0.17,3.25,
nh,ct,0.1889,3.325,
nh,c=1,0.1209,3.325,
nh,c=,0.1209,3.325,
nh,oc,0.17,3.125,
nh,na,0.17,3.25,
Ni,Ni,0.08,1.7085,
Ni,c=,0.08,1.7085,
Ni,c3,0.08,1.7085,
Ni,c4,0.08,1.7085,
Ni,c2,0.08,1.7085,
Ni,h,0.0366,1.7306,
Ni,h1,0.0366,1.7306,
Ni,hi,0.0,1.7306,
np,np,0.17,3.25,
np,nt,0.17,3.25,
np,c2,0.1016,3.7736,
np,c1,0.1016,3.7736,
np,o_1,0.1889,3.105,
np,c_1,0.1209,3.325,
np,ho2,0,1.625,
np,nh,0.17,3.25,
np,ct,0.1209,3.3249,
np,ow,0.1607,3.2003,
np,hw,0,1.625,
np,i,0.2915,3.5405,
np,c=2,0.1209,3.325,
np,ct,0.1889,3.325,
np,c=1,0.1209,3.325,
np,c=,0.1209,3.325,
np,oc,0.17,3.125,
np,na,0.17,3.25,
npc,npc,0.17,3.25,
npc,c5,0.1209,3.325,
npc,np,0.17,3.25,
npc,o_1,0.1889,3.105,
npc,c_1,0.1209,3.325,
npc,ho2,0,1.625,
npc,nh,0.17,3.25,
npc,ct,0.1209,3.3249,
npc,ow,0.1607,3.2003,
npc,hw,0,1.625,
npc,i,0.2915,3.5405,
npc,c=2,0.1209,3.325,
npc,nt,0.17,3.25,
npc,ct,0.1889,3.325,
npc,c=1,0.1209,3.325,
npc,c=,0.1209,3.325,
npc,oc,0.17,3.125,
npc,na,0.17,3.25,
nt,nt,0.17,3.25,
nt,ct,0.1889,3.325,
nt,c=1,0.1209,3.325,
nt,c=,0.1209,3.325,
nt,oc,0.17,3.125,
nt,na,0.17,3.25,
o,o_1,0.1889,2.98,
o,hw,0,1.5,
o,o,0.17,3,
o,hc,0.0615,3.3189,
o,hn,0.0033,3.1498,
o,cpa,0.1598,3.664,
o,nb,0.1145,3.8484,
o,o*,0.256,3.5724,
o,c_0,0.0783,3.7515,
o,o1=,0.1889,2.98,
o,h1,0.0522,2.7355,
o,n3m,0.17,3.125,
o,c4,0.1361,3.2,
o,c,0.1361,3.2,
o,br,0.2672,3.2995,
o,npc,0.17,3.125,
o,c5,0.1209,3.2,
o,np,0.17,3.125,
o,c_1,0.1209,3.2,
o,ho2,0,1.5,
o,nh,0.17,3.125,
o,ct,0.1209,3.1999,
o,ow,0.1607,3.0753,
o,i,0.2915,3.4155,
o,c=2,0.1209,3.2,
o,nt,0.17,3.125,
o,ct,0.1889,3.2,
o,c=1,0.1209,3.2,
o,c=,0.1209,3.2,
o,oc,0.17,3,
o,na,0.17,3.125,
o_1,o_1,0.21,2.96,
