improper,k,chi,comments
cp-br-cp-cp,0,0,cmp1 gaff
cp-cp-ct-cp,2,180.0,cmp1 gaff
cp-ct-cp-cp,2,180.0,cmp1 gaff
cp-cp-cp-br,0,0,cmp1 gaff
cp-cp-cp-ct,0,0,cmp1 gaff
cp-cp-hc-cp,0,0,cmp1 gaff
cg-cg-cg-cg,0,0,cmp1 gaff
cp-cp-cp-hc,0,0,cmp1 gaff
cp-hc-cp-cp,0,0,cmp1 gaff
cp-cp-br-cp,0,0,cmp1 gaff
cp-cp-cp-cp,0,0,cmp1 gaff
