atom1,atom2,epsilon,sigma,comments
cp,ho2,0.0000,1.7000,
cp,c_1,0.0860,3.4000,
br,br,0.4200,3.5990,
br,hc,0.0794,3.0995,
br,npc,0.2672,3.4245,
br,np,0.2672,3.4245,
br,c5,0.1901,3.4995,
br,nh,0.2672,3.4245,
br,hn,0.0820,2.3340,
br,o_1,0.2970,3.2795,
br,o_2,0.2970,3.3325,
br,c2,0.2140,3.4995,
br,ho2,0.0000,1.7995,
br,c_1,0.1901,3.4995,
br,ct,0.1901,3.4995,
hc,npc,0.0505,2.9250,
hc,np,0.0505,2.9250,
hc,c5,0.0359,3.0000,
hc,nh,0.0505,2.9250,
hc,hn,0.0155,1.8345,
hc,o_1,0.0561,2.7800,
hc,o_2,0.0561,2.8330,
hc,ho2,0.0000,1.3000,
hc,c_1,0.0359,3.0000,
npc,npc,0.1700,3.2500,
npc,np,0.1700,3.2500,
npc,c5,0.1209,3.3250,
npc,nh,0.1700,3.2500,
npc,hn,0.0522,2.1595,
npc,o_1,0.1889,3.1050,
npc,o_2,0.1889,3.1580,
npc,ho2,0.0000,1.6250,
npc,c_1,0.1209,3.3250,
npc,c2,0.1361,3.3250,
c5,c5,0.0860,3.4000,
c5,c2,0.0968,3.4000,
c5,c_1,0.0860,3.4000,
c5,o_1,0.1344,3.1800,
c5,o_2,0.1344,3.2330,
c5,ho2,0.0000,1.7000,
c5,nh,0.1209,3.3250,
c5,hn,0.0371,2.2345,
c5,np,0.1209,3.3250,
np,np,0.1700,3.2500,
np,c2,0.1361,3.3250,
np,c_1,0.1209,3.3250,
np,o_1,0.1889,3.1050,
np,o_2,0.1889,3.1580,
np,nh,0.1700,3.2500,
np,hn,0.0522,2.1595,
np,ho2,0.0000,1.6250,
o_1,o_1,0.2100,2.9600,
o_1,o_2,0.2100,3.0130,
o_1,c2,0.1513,3.1800,
o_1,ho2,0.0000,1.4800,
o_1,nh,0.1889,3.1050,
o_1,hn,0.0580,2.0145,
c2,c_1,0.0968,3.4000,
c2,o_2,0.1513,3.2330,
o_2,ho2,0.0000,1.5330,
c2,nh,0.1361,3.3250,
c2,hn,0.0418,2.2345,
c2,ho2,0.0000,1.7000,
c_1,c_1,0.0860,3.4000,
o_2,c_1,0.1344,3.2330,
o_1,c_1,0.1344,3.1800,
ho2,c_1,0.0000,1.7000,
nh,c_1,0.1209,3.3250,
hn,c_1,0.0371,2.2345,
o_2,o_2,0.2100,3.0660,
nh,o_2,0.1889,3.1580,
hn,o_2,0.0580,2.0675,
ho2,ho2,0.0000,0.0000,
nh,ho2,0.0000,1.6250,
hn,ho2,0.0000,0.5345,
nh,hn,0.0522,2.1595,
hn,hn,0.0160,1.0690,
nh,nh,0.1700,3.2500,
ct,ct,0.0860,3.3997,
