Type,EndGroup,CapAtom,Dihedral,DelAtom
a,9,10,-1,-1
a,13,14,-1,-1
a,31,32,-1,-1
a,35,36,-1,-1
a,53,54,-1,-1
a,104,105,-1,-1
a,112,113,-1,-1
a,146,147,-1,-1
a,154,155,-1,-1
a,188,189,-1,-1
a,192,193,-1,-1
a,207,208,-1,-1
